index,Raw,Count,Lemmantize,Porter,Lancaster
477,needs,5,need,need,nee
478,affected,5,affected,affect,affect
479,major,5,major,major,maj
480,avoid,5,avoid,avoid,avoid
481,c,5,c,c,c
682,produced,4,produced,produc,produc
683,hot,4,hot,hot,hot
684,English,4,English,english,engl
685,spent,4,spent,spent,spent
686,housekeeping,4,housekeeping,housekeep,housekeep
687,impacted,4,impacted,impact,impact
688,guidance,4,guidance,guidanc,guid
689,outset,4,outset,outset,outset
690,Too,4,Too,too,too
691,NCRs,4,NCRs,ncr,ncrs
696,allowed,4,allowed,allow,allow
692,develop,4,develop,develop,develop
693,lorry,4,lorry,lorri,lorry
694,put,4,put,put,put
695,complicated,4,complicated,complic,comply
697,Fire,4,Fire,fire,fir
698,Over,4,Over,over,ov
699,knowledge,4,knowledge,knowledg,knowledg
700,persons,4,person,person,person
701,split,4,split,split,split
680,extended,4,extended,extend,extend
702,-HZI,4,-HZI,-hzi,-hzi
681,Approval,4,Approval,approv,approv
667,controls,4,control,control,control
679,strategy,4,strategy,strategi,strategy
678,platform,4,platform,platform,platform
704,Time,4,Time,time,tim
657,experts,4,expert,expert,expert
658,solutions,4,solution,solut,solv
659,Define,4,Define,defin,defin
660,milestones,4,milestone,mileston,mileston
661,lost,4,lost,lost,lost
662,SSE,4,SSE,sse,sse
663,another,4,another,anoth,anoth
664,going,4,going,go,going
665,welfare,4,welfare,welfar,welf
666,procured,4,procured,procur,proc
668,went,4,went,went,went
669,Installation,4,Installation,instal,instal
670,next,4,next,next,next
671,completion,4,completion,complet,complet
672,PCM,4,PCM,pcm,pcm
673,hours,4,hour,hour,hour
674,meant,4,meant,meant,meant
675,mind,4,mind,mind,mind
676,groups,4,group,group,group
677,unit,4,unit,unit,unit
703,committed,4,committed,commit,commit
732,Improves,4,Improves,improv,improv
705,erect,4,erect,erect,erect
706,TQs,4,TQs,tq,tqs
731,therefore,4,therefore,therefor,theref
733,workshop,4,workshop,workshop,workshop
734,mechanical,4,mechanical,mechan,mech
735,causing,4,causing,caus,caus
736,regular,4,regular,regular,regul
737,Foundation,4,Foundation,foundat,found
738,shallow,4,shallow,shallow,shallow
739,laydown,4,laydown,laydown,laydown
740,processes,4,process,process,process
741,subject,4,subject,subject,subject
742,compensation,4,compensation,compens,compens
743,safety,4,safety,safeti,saf
744,happened,4,happened,happen,hap
745,meet,4,meet,meet,meet
746,captured,4,captured,captur,capt
747,integrated,4,integrated,integr,integr
748,ship,4,ship,ship,ship
749,Feed,4,Feed,feed,fee
750,submit,4,submit,submit,submit
751,Inspections,4,Inspections,inspect,inspect
654,monthly,4,monthly,monthli,month
730,ITP,4,ITP,itp,itp
729,send,4,send,send,send
728,attendance,4,attendance,attend,attend
716,Dates,4,Dates,date,dat
707,getting,4,getting,get,get
708,came,4,came,came,cam
709,Clear,4,Clear,clear,clear
710,directly,4,directly,directli,direct
711,height,4,height,height,height
